ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr1,138140000,138150000,chr1,138170000,138180000,9.5
chr6,48690000,48700000,chr6,48700000,48710000,9.0
chr2,11190000,11200000,chr2,11200000,11210000,8.5
chr11,98480000,98490000,chr11,98490000,98500000,8.0
chr17,72930000,72940000,chr17,72940000,72950000,8.0
chr11,118140000,118150000,chr11,118150000,118160000,8.0
chr1,60760000,60770000,chr1,60770000,60780000,8.0
chr19,11480000,11490000,chr19,11510000,11520000,8.0
chr13,24600000,24610000,chr13,24610000,24620000,8.0
chr4,137350000,137360000,chr4,137360000,137370000,7.5
chr2,11630000,11640000,chr2,11640000,11650000,7.5
chr15,60130000,60140000,chr15,60140000,60150000,7.0
chr14,70060000,70070000,chr14,70070000,70080000,7.0
chr6,134920000,134930000,chr6,134940000,134950000,6.5
chr10,96600000,96610000,chr10,96610000,96620000,6.5
chr8,126840000,126850000,chr8,126850000,126860000,6.5
chr1,60740000,60750000,chr1,60750000,60760000,6.5
chr4,59320000,59330000,chr4,59330000,59340000,6.0
chr17,31200000,31210000,chr17,31220000,31230000,6.0
chr15,76350000,76360000,chr15,76360000,76370000,6.0
chr1,138130000,138140000,chr1,138170000,138180000,6.0
chr9,32910000,32920000,chr9,32930000,32940000,6.0
chr6,54840000,54850000,chr6,54850000,54860000,6.0
chr9,32910000,32920000,chr9,32920000,32930000,6.0
chr1,53790000,53800000,chr1,53800000,53810000,6.0
chr8,126850000,126860000,chr8,126860000,126870000,6.0
chr7,28780000,28790000,chr7,28790000,28800000,6.0
chr3,135730000,135740000,chr3,135740000,135750000,5.5
chr14,121930000,121940000,chr14,122000000,122010000,5.5
chr6,48690000,48700000,chr6,48730000,48740000,5.5
chr6,48700000,48710000,chr6,48730000,48740000,5.5
chr11,69060000,69070000,chr11,69070000,69080000,5.5
chr5,65320000,65330000,chr5,65330000,65340000,5.5
chr6,94660000,94670000,chr6,94680000,94690000,5.5
chr4,134910000,134920000,chr4,134920000,134930000,5.5
chr6,31180000,31190000,chr6,31190000,31200000,5.5
chr2,102860000,102870000,chr2,102870000,102880000,5.5
chr8,81760000,81770000,chr8,81770000,81780000,5.5
chr9,32920000,32930000,chr9,32930000,32940000,5.5
chr7,102250000,102260000,chr7,102260000,102270000,5.5
chr8,123030000,123040000,chr8,123040000,123050000,5.5
chr10,42860000,42870000,chr10,42890000,42900000,5.5
chr9,65520000,65530000,chr9,65530000,65540000,5.0
chr1,144270000,144280000,chr1,144290000,144300000,5.0
chr6,48720000,48730000,chr6,48730000,48740000,5.0
chr8,72260000,72270000,chr8,72360000,72370000,5.0
chr10,19000000,19010000,chr10,19010000,19020000,5.0
chr2,157110000,157120000,chr2,157120000,157130000,5.0
chr10,19170000,19180000,chr10,19180000,19190000,5.0
chr6,48680000,48690000,chr6,48690000,48700000,5.0
chr9,114440000,114450000,chr9,114450000,114460000,5.0
chr2,11620000,11630000,chr2,11630000,11640000,5.0
