ChrA,StartA,EndA,ChrB,StartB,EndB,Ncontact
chr13,45900000,45910000,chr13,45910000,45920000,9.0
chr17,29420000,29430000,chr17,29430000,29440000,8.5
chr15,27660000,27670000,chr15,27670000,27680000,8.5
chr10,91150000,91160000,chr10,91160000,91170000,8.5
chr19,10730000,10740000,chr19,10740000,10750000,8.5
chr13,24600000,24610000,chr13,24610000,24620000,8.0
chr1,165700000,165710000,chr1,165710000,165720000,7.5
chr2,102870000,102880000,chr2,102880000,102890000,7.5
chr9,65530000,65540000,chr9,65540000,65550000,7.5
chr10,75760000,75770000,chr10,75770000,75780000,7.5
chr8,25600000,25610000,chr8,25610000,25620000,7.5
chr8,123000000,123010000,chr8,123010000,123020000,7.5
chr19,11510000,11520000,chr19,11520000,11530000,7.5
chr8,70670000,70680000,chr8,70690000,70700000,7.0
chr13,112420000,112430000,chr13,112430000,112440000,7.0
chr6,31190000,31200000,chr6,31200000,31210000,7.0
chr7,127180000,127190000,chr7,127190000,127200000,7.0
chr9,107290000,107300000,chr9,107330000,107340000,7.0
chr1,60870000,60880000,chr1,60880000,60890000,7.0
chr6,87500000,87510000,chr6,87510000,87520000,7.0
chr6,129210000,129220000,chr6,129220000,129230000,7.0
chr11,32000000,32010000,chr11,32010000,32020000,7.0
chr13,43770000,43780000,chr13,43780000,43790000,7.0
chr8,83590000,83600000,chr8,83600000,83610000,7.0
chr10,118080000,118090000,chr10,118090000,118100000,7.0
chr4,108310000,108320000,chr4,108320000,108330000,7.0
chr11,87420000,87430000,chr11,87440000,87450000,6.5
chr12,73590000,73600000,chr12,73600000,73610000,6.5
chr8,14980000,14990000,chr8,14990000,15000000,6.5
chr9,32700000,32710000,chr9,32730000,32740000,6.5
chr2,127310000,127320000,chr2,127330000,127340000,6.5
chr4,32130000,32140000,chr4,32140000,32150000,6.5
chr1,60740000,60750000,chr1,60750000,60760000,6.5
chr14,121950000,121960000,chr14,121960000,121970000,6.5
chr11,34770000,34780000,chr11,34780000,34790000,6.0
chr10,127060000,127070000,chr10,127070000,127080000,6.0
chr9,32910000,32920000,chr9,32920000,32930000,6.0
chr9,32910000,32920000,chr9,32930000,32940000,6.0
chr11,86580000,86590000,chr11,86590000,86600000,6.0
chr1,134050000,134060000,chr1,134060000,134070000,6.0
chr1,193190000,193200000,chr1,193200000,193210000,6.0
chr6,54850000,54860000,chr6,54860000,54870000,6.0
chr6,48800000,48810000,chr6,48810000,48820000,6.0
chr8,111560000,111570000,chr8,111580000,111590000,6.0
chr6,48700000,48710000,chr6,48710000,48720000,6.0
chr4,150790000,150800000,chr4,150800000,150810000,6.0
chr10,98870000,98880000,chr10,98880000,98890000,6.0
chr17,46870000,46880000,chr17,46880000,46890000,6.0
chr9,61930000,61940000,chr9,61940000,61950000,6.0
chr2,104840000,104850000,chr2,104850000,104860000,6.0
chr15,6590000,6600000,chr15,6600000,6610000,6.0
chr6,31150000,31160000,chr6,31170000,31180000,6.0
chr9,32920000,32930000,chr9,32930000,32940000,5.5
chr9,107290000,107300000,chr9,107310000,107320000,5.5
chr8,84190000,84200000,chr8,84200000,84210000,5.5
chr1,164060000,164070000,chr1,164070000,164080000,5.5
chr10,42890000,42900000,chr10,42900000,42910000,5.5
chr3,52840000,52850000,chr3,52850000,52860000,5.5
chr3,68970000,68980000,chr3,68980000,68990000,5.5
chr8,126580000,126590000,chr8,126590000,126600000,5.5
chr4,32350000,32360000,chr4,32360000,32370000,5.5
chr5,86070000,86080000,chr5,86080000,86090000,5.5
chr2,129180000,129190000,chr2,129190000,129200000,5.5
chr17,50470000,50480000,chr17,50480000,50490000,5.5
chr11,87750000,87760000,chr11,87760000,87770000,5.5
chr1,60910000,60920000,chr1,60940000,60950000,5.5
